Origin State,Type,Dest State,Year,Measure Names,Measure Values
Alaska,Export,Washington,2022,Current Value (millions of dollars),501.001318
Alaska,Export,Virginia,2022,Current Value (millions of dollars),0
Alaska,Export,Texas,2022,Current Value (millions of dollars),31.948085
Alaska,Export,Tennessee,2022,Current Value (millions of dollars),8.556697
Alaska,Export,South Dakota,2022,Current Value (millions of dollars),0.024564
Alaska,Export,South Carolina,2022,Current Value (millions of dollars),0.092986
Alaska,Export,Rhode Island,2022,Current Value (millions of dollars),0
Alaska,Export,Pennsylvania,2022,Current Value (millions of dollars),1.515879
Alaska,Export,Oregon,2022,Current Value (millions of dollars),0
Alaska,Export,Ohio,2022,Current Value (millions of dollars),0.041254
Alaska,Export,North Dakota,2022,Current Value (millions of dollars),1.724981
Alaska,Export,North Carolina,2022,Current Value (millions of dollars),0.09884
Alaska,Export,New York,2022,Current Value (millions of dollars),630.564135
Alaska,Export,New Mexico,2022,Current Value (millions of dollars),0.006
Alaska,Export,New Jersey,2022,Current Value (millions of dollars),0.148984
Alaska,Export,Montana,2022,Current Value (millions of dollars),7.832291
Alaska,Export,Mississippi,2022,Current Value (millions of dollars),0.06
Alaska,Export,Minnesota,2022,Current Value (millions of dollars),0.061023
Alaska,Export,Michigan,2022,Current Value (millions of dollars),3.787802
Alaska,Export,Massachusetts,2022,Current Value (millions of dollars),0.03892
Alaska,Export,Maryland,2022,Current Value (millions of dollars),0.006779
Alaska,Export,Maine,2022,Current Value (millions of dollars),0.086986
Alaska,Export,Louisiana,2022,Current Value (millions of dollars),1.869679
Alaska,Export,Kentucky,2022,Current Value (millions of dollars),10.387456
Alaska,Export,Kansas,2022,Current Value (millions of dollars),0.046424
Alaska,Export,Indiana,2022,Current Value (millions of dollars),0
Alaska,Export,Illinois,2022,Current Value (millions of dollars),1.845205
Alaska,Export,Idaho,2022,Current Value (millions of dollars),0
Alaska,Export,Hawaii,2022,Current Value (millions of dollars),0.043629
Alaska,Export,Georgia,2022,Current Value (millions of dollars),0.729352
Alaska,Export,Florida,2022,Current Value (millions of dollars),8.099609
Alaska,Export,District of Columbia,2022,Current Value (millions of dollars),0
Alaska,Export,Colorado,2022,Current Value (millions of dollars),0
Alaska,Export,California,2022,Current Value (millions of dollars),28.844714
Alaska,Export,Arkansas,2022,Current Value (millions of dollars),0
Alaska,Export,Arizona,2022,Current Value (millions of dollars),0.705357
Alaska,Export,Alaska,2022,Current Value (millions of dollars),5033.779158
Alaska,Export,Alabama,2022,Current Value (millions of dollars),1.531922
Alaska,Import,Wyoming,2022,Current Value (millions of dollars),3.179271
Alaska,Import,Wisconsin,2022,Current Value (millions of dollars),371.093685
Alaska,Import,West Virginia,2022,Current Value (millions of dollars),2.727712
Alaska,Import,Washington,2022,Current Value (millions of dollars),177.296441
Alaska,Import,Virginia,2022,Current Value (millions of dollars),67.332576
Alaska,Import,Vermont,2022,Current Value (millions of dollars),19.573333
Alaska,Import,Utah,2022,Current Value (millions of dollars),96.515111
Alaska,Import,Texas,2022,Current Value (millions of dollars),2689.608273
Alaska,Import,Tennessee,2022,Current Value (millions of dollars),2329.514776
Alaska,Import,South Dakota,2022,Current Value (millions of dollars),11.051286
Alaska,Import,South Carolina,2022,Current Value (millions of dollars),70.744658
Alaska,Import,Rhode Island,2022,Current Value (millions of dollars),24.61255
Alaska,Import,Pennsylvania,2022,Current Value (millions of dollars),233.02527
Alaska,Import,Oregon,2022,Current Value (millions of dollars),349.111599
Alaska,Import,Oklahoma,2022,Current Value (millions of dollars),61.225762
Alaska,Import,Ohio,2022,Current Value (millions of dollars),170.382697
Alaska,Import,North Dakota,2022,Current Value (millions of dollars),3.068164
Alaska,Import,North Carolina,2022,Current Value (millions of dollars),278.58767
Alaska,Import,New York,2022,Current Value (millions of dollars),573.296736
Alaska,Import,New Mexico,2022,Current Value (millions of dollars),41.361699
Alaska,Import,New Jersey,2022,Current Value (millions of dollars),521.333017
Alaska,Import,New Hampshire,2022,Current Value (millions of dollars),93.438532
Alaska,Import,Nevada,2022,Current Value (millions of dollars),1270.506204
Alaska,Import,Nebraska,2022,Current Value (millions of dollars),25.338775
Alaska,Import,Montana,2022,Current Value (millions of dollars),3.943495
Alaska,Import,Missouri,2022,Current Value (millions of dollars),50.79622
Alaska,Import,Mississippi,2022,Current Value (millions of dollars),163.372703
Alaska,Import,Minnesota,2022,Current Value (millions of dollars),410.340578
Alaska,Import,Michigan,2022,Current Value (millions of dollars),211.395573
Alaska,Import,Massachusetts,2022,Current Value (millions of dollars),340.80954
Alaska,Import,Maryland,2022,Current Value (millions of dollars),52.721328
Alaska,Import,Maine,2022,Current Value (millions of dollars),13.384947
Alaska,Import,Louisiana,2022,Current Value (millions of dollars),11.255554
Alaska,Import,Kentucky,2022,Current Value (millions of dollars),476.833282
Alaska,Import,Kansas,2022,Current Value (millions of dollars),94.631034
Alaska,Import,Iowa,2022,Current Value (millions of dollars),24.796728
Alaska,Import,Indiana,2022,Current Value (millions of dollars),274.286255
Alaska,Import,Illinois,2022,Current Value (millions of dollars),630.295584
Alaska,Import,Idaho,2022,Current Value (millions of dollars),2228.173971
Alaska,Import,Hawaii,2022,Current Value (millions of dollars),4.047927
Alaska,Import,Georgia,2022,Current Value (millions of dollars),297.098163
Alaska,Import,Florida,2022,Current Value (millions of dollars),657.402284
Alaska,Import,District of Columbia,2022,Current Value (millions of dollars),2.500192
Alaska,Import,Delaware,2022,Current Value (millions of dollars),29.160788
Alaska,Import,Connecticut,2022,Current Value (millions of dollars),67.814743
Alaska,Import,Colorado,2022,Current Value (millions of dollars),173.32166
Alaska,Import,California,2022,Current Value (millions of dollars),3647.729235
Alaska,Import,Arkansas,2022,Current Value (millions of dollars),14.231914
Alaska,Import,Arizona,2022,Current Value (millions of dollars),334.69844
Alaska,Import,Alaska,2022,Current Value (millions of dollars),2727.932234
Alaska,Import,Alabama,2022,Current Value (millions of dollars),61.098621
Arizona,Domestic,Wyoming,2022,Current Value (millions of dollars),207.496956
Arizona,Domestic,Wisconsin,2022,Current Value (millions of dollars),1007.923037
Arizona,Domestic,West Virginia,2022,Current Value (millions of dollars),54.515527
Arizona,Domestic,Washington,2022,Current Value (millions of dollars),2367.789649
Arizona,Domestic,Virginia,2022,Current Value (millions of dollars),1087.495378
Arizona,Domestic,Vermont,2022,Current Value (millions of dollars),74.312587
Arizona,Domestic,Utah,2022,Current Value (millions of dollars),3603.474132
Arizona,Domestic,Texas,2022,Current Value (millions of dollars),16110.333921
Arizona,Domestic,Tennessee,2022,Current Value (millions of dollars),636.203473
Arizona,Domestic,South Dakota,2022,Current Value (millions of dollars),100.561874
Arizona,Domestic,South Carolina,2022,Current Value (millions of dollars),963.251625
Arizona,Domestic,Rhode Island,2022,Current Value (millions of dollars),165.170447
Arizona,Domestic,Pennsylvania,2022,Current Value (millions of dollars),1682.638485
Arizona,Domestic,Oregon,2022,Current Value (millions of dollars),1302.99946
Arizona,Domestic,Oklahoma,2022,Current Value (millions of dollars),621.031361
Arizona,Domestic,Ohio,2022,Current Value (millions of dollars),1418.389005
Arizona,Domestic,North Dakota,2022,Current Value (millions of dollars),57.649666
Arizona,Domestic,North Carolina,2022,Current Value (millions of dollars),1218.388511
Arizona,Domestic,New York,2022,Current Value (millions of dollars),2547.978089
Arizona,Domestic,New Mexico,2022,Current Value (millions of dollars),6646.917588
Arizona,Domestic,New Jersey,2022,Current Value (millions of dollars),1330.615625
Arizona,Domestic,New Hampshire,2022,Current Value (millions of dollars),288.07856
Arizona,Domestic,Nevada,2022,Current Value (millions of dollars),4907.784222
Arizona,Domestic,Nebraska,2022,Current Value (millions of dollars),879.942496
Arizona,Domestic,Montana,2022,Current Value (millions of dollars),313.609512
Arizona,Domestic,Missouri,2022,Current Value (millions of dollars),1227.838798
Arizona,Domestic,Mississippi,2022,Current Value (millions of dollars),1456.332479
Arizona,Domestic,Minnesota,2022,Current Value (millions of dollars),1902.463323
Arizona,Domestic,Michigan,2022,Current Value (millions of dollars),1201.802597
Arizona,Domestic,Massachusetts,2022,Current Value (millions of dollars),1174.793355
